Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Disponibles para la venta [Vecindario],Precio [Vecindario],En inventario [Vecindario],Existencias bajas [Vecindario],"modificador - ""Hamburguesas""","modificador - ""Icono""","modificador - ""Tebana""","modificador - ""Wendlandt""","modificador - ""Caudillo""","modificador - ""Cuatro palos""","modificador - ""Hamburguesa Vecindario""","modificador - ""Hamburguesa Teopanzolco""","modificador - ""Tiras empanizadas""","modificador - ""Ayinger""","modificador - ""Pilsner Urquel""","modificador - ""Bruer""","modificador - ""Punto Rojo""","modificador - ""Rámuri""","modificador - ""Volfas""","modificador - ""Moldova""","modificador - ""Chato""","modificador - ""Aquelarre""","modificador - ""Etienne""","modificador - ""Mac and Cheese""","modificador - ""Ensalada primavera""","modificador - ""Pizza""","modificador - ""Chicatana""","modificador - ""ABK""","modificador - ""Oveja Mística""","modificador - ""Nuevo Imperio""","modificador - ""Nómada""","modificador - ""tocino extra""","modificador - ""Perruchona""","modificador - ""St. Peter's""","modificador - ""Knee Deep""","modificador - ""Alesmith""","modificador - ""De Halve Maan""","modificador - ""Insurgente""","modificador - ""Vecindario""","modificador - ""Principia""","modificador - ""Pizza calabaza""","modificador - ""Cardera""","modificador - ""Ensalada caprese""","modificador - ""Farland""","modificador - ""Dos Aves""","modificador - ""Buqui Bichi""","modificador - ""Straffe Hendrik""","modificador - ""Santa Sabina""","modificador - ""Madueño""","modificador - ""Sacro""","modificador - ""Copete de Hueso""","modificador - ""Con Chicharrón""","modificador - ""Chaneque""","modificador - ""Arrachera""","modificador - ""Monkey Waves""","modificador - ""Crepa""","modificador - ""Guacamole""","modificador - ""Bichola""","modificador - ""Sierra Nevada""","modificador - ""Hercules""","modificador - ""Ludica"""
abk-schwarzbier,10828,ABK Schwarzbier,Lata/Botella,,N,,,,,,,70.00,,,,Y,Y,133.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
achel-dubbel,11220,Achel Dubbel,Lata/Botella,,N,,,,,,,96.02,,,,Y,Y,175.00,5.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
adriaen-brouwer-tripel,11221,Adriaen Brouwer Tripel,Lata/Botella,,N,,,,,,,97.96,,,,Y,Y,178.00,3.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
agua-mala-astillero-355-ml-1,4,Agua Mala Astillero 355 ml,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,105.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
agua-mala-fugu-355-ml-2,43,Agua Mala Fugu 355 ml,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,100.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
agua-mala-mantarraya-355-ml-2,44,Agua Mala Mantarraya 355 ml,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,100.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
agua-mala-sirena-355-ml-2,45,Agua Mala Sirena 355 ml,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,100.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
agua-mala-triple-ipa-355-ml-2,40,Agua Mala Triple IPA 355 ml,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,110.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
agua-mala-vieja-355-ml-2,41,Agua Mala Vieja 355 ml,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,100.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
alesmith---barrel-aged-speedway-stout-coffee-cake-edition-2024-2,10324,Alesmith - Barrel Aged Speedway Stout Coffee Cake Edition 2024,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,464.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
alesmith---barrel-aged-speedway-stout-vietnamese-coffee-2,10135,Alesmith - Barrel Aged Speedway Stout Vietnamese Coffee,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,390.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
alesmith---speedway-stout-botella-2,10323,Alesmith - Speedway Stout Botella,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,435.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
alesmith-hazy-.394,10743,Alesmith Hazy .394,Lata/Botella,,N,,,,,,,60.66,,,,Y,Y,125.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
alesmith-paquete-grand-prix,10515,Alesmith Paquete Grand prix,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,907.00,0.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
alesmith-party-tricks,10742,Alesmith Party Tricks,Lata/Botella,,N,,,,,,,69.83,,,,Y,Y,140.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
alesmith-speedway-gp-pack,10530,Alesmith Speedway GP Pack,Lata/Botella,,N,,,,,,,567.00,,,,Y,Y,851.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
alesmith-speedway-stout,10745,Alesmith Speedway Stout,Lata/Botella,,N,,,,,,,97.22,,,,Y,Y,205.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
alesmith-tropical-party-tricks,10741,Alesmith Tropical Party Tricks,Lata/Botella,,N,,,,,,,69.83,,,,Y,Y,140.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
alesmith.-394,10744,Alesmith. 394,Lata/Botella,,N,,,,,,,60.66,,,,Y,Y,125.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
allagash-hop-reach-(lata)-12-oz-2,70,Allagash Hop Reach (Lata) 12 oz,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,125.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
allagash-tripel-355-ml-2,71,Allagash Tripel 355 ml,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,135.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
allagash-white-(lata)-12-oz-2,69,Allagash White (Lata) 12 oz,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,115.00,0.000,1000000.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
allende-baltic-porter-2,10222,Allende baltic porter,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,95.00,0.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
arellano---sr-ollin-stout-2,10215,Arellano - Sr Ollin Stout,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,72.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
arellanos---sra.-ollín-lager,10191,Arellanos - Sra. Ollín Lager,Lata/Botella,,N,,,,,,,0.00,,,,Y,Y,72.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
